order_id,order_date,customer_id,product,category,quantity,price
1000,2026-05-16,4468,T-Shirt,Apparel,1,59336.96
1001,2026-05-29,4598,Headphones,Electronics,4,2591.03
1001,2026-07-15,1308,Headphones,Electronics,4,17674.23
1003,2026-06-06,3113,Sneakers,Apparel,3,22265.81
1004,2026-04-03,3101,Keyboard,Electronics,3,48317.9
1005,2026-05-03,570,Headphones,Electronics,3,66360.9
1006,2026-07-16,3715,Mouse,Electronics,3,78818.46
1007,2026-04-09,585,Jacket,Apparel,2,29645.97
1008,2026-04-26,4563,Jeans,Apparel,5,58343.69
1009,2026-05-06,1729,Keyboard,Electronics,1,18362.39
1010,2026-03-21,2170,Jacket,Apparel,2,52452.32
1011,2026-06-20,2966,Mouse,Electronics,5,43141.23
1012,2026-05-04,1311,Mouse,Electronics,5,39506.59
1013,2026-07-08,4533,Sneakers,Apparel,5,5129.04
1014,2026-05-26,1296,Laptop,Electronics,5,60082.68
1015,2026-05-06,2445,Rice 5kg,Grocery,3,77752.45
1016,2026-03-04,5,Jeans,Apparel,2,29944.41
1017,2026-03-08,2520,Jacket,Apparel,4,1607.17
1018,2026-07-30,567,Laptop,Electronics,2,70246.87
1019,2026-05-31,4970,Jeans,Apparel,2,52797.08
1020,2026-07-25,3060,Milk 1L,Grocery,5,60433.45
1021,2026-04-07,4821,Bread,Grocery,1,19870.05
1022,2026-07-31,2707,Laptop,Electronics,1,56641.88
1023,2026-05-07,4678,Headphones,Electronics,2,22314.26
1024,2026-08-13,3532,Sneakers,Apparel,2,62780.32
1025,2026-06-22,807,Bread,Grocery,4,37388.62
1026,2026-08-18,1149,Monitor,Electronics,3,64057.37
1027,2026-04-26,4509,Milk 1L,Grocery,3,37037.11
1028,2026-05-14,1363,Laptop,Electronics,5,66890.41
1029,2026-03-03,3199,Bread,Grocery,4,17139.1
1030,2026-06-30,3987,Bread,Grocery,3,33869.45
1031,2026-03-28,2570,Mouse,Electronics,3,17455.19
1032,2026-06-15,4161,Laptop,Electronics,5,38169.24
1033,2026-04-01,4667,Mouse,Electronics,1,47623.06
1034,2026-02-21,2592,Headphones,Electronics,5,3227.35
1035,2026-04-26,2591,Milk 1L,Grocery,3,19132.94
1036,2026-04-27,4145,Laptop,Electronics,4,49711.68
1037,2026-03-08,4451,Milk 1L,Grocery,3,70475.09
1038,2026-08-10,4544,Jacket,Apparel,5,78709.07
1039,2026-08-03,2309,Rice 5kg,Grocery,2,21194.05
1040,2026-03-24,417,Jeans,Apparel,3,16327.61
1041,2026-02-24,1324,Monitor,Electronics,3,3574.74
1042,2026-05-27,1222,Sneakers,Apparel,5,56468.11
1043,2026-05-14,327,T-Shirt,Apparel,3,46621.64
1044,2026-07-21,1267,Milk 1L,Grocery,2,53371.33
1045,2026-03-22,3373,Mouse,Electronics,2,70519.23
1046,2026-02-23,3856,Jeans,Apparel,3,12777.87
1047,2026-06-05,1583,Mouse,Electronics,4,28005.19
1048,2026-04-08,3275,Eggs Dozen,Grocery,3,69155.02
1049,2026-05-05,2175,Jacket,Apparel,1,9271.57
1050,2026-08-18,4190,Laptop,Electronics,5,34793.37
1051,2026-03-08,4411,Monitor,Electronics,5,15246.8
1052,2026-03-29,1021,Jeans,Apparel,3,34532.23
1053,2026-03-25,1043,Jacket,Apparel,5,24777.31
1054,2026-08-14,4489,Monitor,Electronics,4,54201.57
1055,2026-05-16,3620,Keyboard,Electronics,3,16854.11
1056,2026-04-19,695,Milk 1L,Grocery,5,37881.24
1057,2026-04-18,1632,Eggs Dozen,Grocery,1,65482.96
1058,2026-03-30,3396,Laptop,Electronics,1,19625.16
1058,2026-02-28,874,Jeans,Apparel,4,39575.45
1060,2026-03-22,995,Milk 1L,Grocery,2,64338.58
1061,2026-03-30,3626,Milk 1L,Grocery,4,53422.84
1062,2026-08-12,2026,Sneakers,Apparel,5,35700.79
1063,2026-06-27,1921,Jacket,Apparel,5,38793.53
1064,2026-07-03,1252,Eggs Dozen,Grocery,3,71447.5
1065,2026-03-02,3442,Jeans,Apparel,1,33218.69
1066,2026-03-08,3433,Rice 5kg,Grocery,-1,30461.46
1067,2026-03-20,3313,Jeans,Apparel,4,17592.76
1068,2026-05-22,4849,Jeans,Apparel,4,73567.35
1069,2026-04-04,3106,T-Shirt,Apparel,1,51437.83
1070,2026-04-07,3454,Milk 1L,Grocery,4,26181.32
1071,2026-06-25,563,Rice 5kg,Grocery,4,1599.69
1072,2026-04-11,1035,T-Shirt,Apparel,1,75971.46
1073,2026-03-12,4964,Rice 5kg,Grocery,5,75823.17
1074,2026-04-09,3075,T-Shirt,Apparel,2,77179.43
